FeatureType,irradiation,AC_POWER,module_temperature,humidity,tariff_per_kwh,subsidy_percent,installation_cost,maintenance_cost,annual_generation,degradation_rate,payback_period,roi
Residential,0.2,-4.97,-3.28,-5.14,-0.92,-11.04,-443523.13,1774.42,-5899.48,-0.16,25.0,0.0
Residential,0.22,3.42,13.11,17.73,-1.11,-1.04,526171.57,-2058.57,3381.94,0.1,17.33,5.77
Residential,1.11,-0.99,7.72,14.01,2.17,-11.04,66120.86,-4115.36,944.15,0.15,7.69,13.0
Residential,1.12,0.54,6.09,-14.99,-0.83,-1.04,-12391.59,-4330.72,301.63,-0.14,10.67,9.37
Residential,0.21,-1.11,-10.28,-15.18,-0.39,-1.04,-94967.17,173.41,-282.99,-0.07,10.02,9.98
Residential,0.25,-2.41,2.88,-6.6,1.1,8.96,-319152.63,2879.9,-1483.23,-0.13,4.37,22.89
Residential,1.05,-4.9,1.17,-31.9,2.68,-1.04,-391751.54,325.82,-4902.16,0.16,7.19,13.9
Residential,0.61,1.46,5.35,22.14,-2.55,8.96,-141612.36,-1838.22,-1368.17,0.18,16.08,6.22
Residential,-0.15,-0.52,-5.06,1.38,0.71,-1.04,170513.64,-3321.39,2075.71,-0.06,9.6,10.42
Residential,1.21,-1.65,17.5,31.62,0.74,-1.04,-289711.5,1316.61,450.33,-0.05,3.62,27.64
Residential,-0.79,-0.83,2.9,31.03,-0.27,-11.04,-67830.02,2470.8,-1331.78,0.02,14.12,7.08
Residential,0.57,-0.72,12.53,5.59,2.28,-1.04,77835.03,-862.23,1020.04,0.02,8.06,12.41
Residential,0.5,-3.73,5.01,12.81,1.24,-11.04,-204028.35,551.26,-3787.47,0.15,15.15,6.6
Residential,-0.26,-0.9,10.62,-22.85,0.1,-1.04,-279578.54,-862.05,-969.27,-0.16,5.18,19.31
Residential,-1.01,-2.45,-16.53,23.78,0.11,8.96,-287705.78,1920.31,-2673.59,-0.0,8.56,11.68
Residential,-0.33,-3.76,-3.45,13.15,1.57,8.96,-240445.16,-2421.02,-2846.81,-0.06,7.66,13.05
Residential,-0.02,-0.06,-0.77,-12.58,1.72,8.96,120875.33,-4629.17,2449.22,-0.18,7.36,13.59
Residential,0.82,-4.38,9.59,-13.31,1.48,-11.04,-416895.83,-3036.18,-4735.36,-0.12,5.76,17.36
Residential,0.8,1.6,9.17,-22.93,0.69,-1.04,-59439.95,-2527.78,-243.56,-0.0,8.67,11.54
Residential,1.05,-1.06,10.47,-24.64,-1.13,-1.04,-313964.36,-2751.6,-1422.47,0.12,5.41,18.5
Residential,0.94,-2.12,17.91,-1.43,-1.1,8.96,-154737.57,2910.07,630.85,0.07,8.8,11.36
Residential,-0.25,1.83,8.04,24.56,-2.35,8.96,104061.37,3883.29,1700.7,0.13,18.62,5.37
Residential,-0.84,2.7,-14.72,-26.49,-0.43,-1.04,113447.49,-3380.05,-2341.43,0.19,22.03,4.54
Residential,0.24,-2.81,11.92,-27.93,-2.26,-1.04,-166800.24,-1783.77,-2091.76,0.02,16.58,6.03
Residential,0.86,-0.54,0.38,-25.1,-1.94,-1.04,-205603.56,-1696.28,-2784.25,-0.16,16.53,6.05
Residential,-1.21,3.65,-1.96,-26.81,-2.24,-1.04,134980.34,-3611.16,-1176.81,-0.13,24.45,4.09
Residential,0.66,-0.87,6.2,23.52,-0.1,-11.04,123322.82,-3513.97,-164.48,-0.05,13.57,7.37
Residential,-0.32,-2.97,-4.35,18.22,2.18,-11.04,-354341.52,-828.57,-4177.07,-0.17,6.44,15.52
Residential,-0.43,-2.77,3.18,2.7,-2.23,-11.04,-284820.55,-777.49,-4976.84,-0.08,25.0,1.51
Residential,-0.49,-4.46,8.73,26.2,0.94,8.96,-380572.68,-183.12,-4863.1,-0.16,10.29,9.72
Residential,-0.03,4.89,-11.8,12.03,2.3,-1.04,550407.28,-1669.13,6744.1,0.01,8.25,12.12
Residential,0.26,2.91,-0.03,7.6,2.68,-1.04,221320.66,-3576.64,636.11,-0.13,9.89,10.11
Residential,-0.72,-4.96,4.41,5.67,1.5,8.96,-427621.72,-830.71,-5680.6,-0.0,16.08,6.22
Residential,-0.92,-3.26,-2.66,-19.84,2.4,-11.04,-370311.53,780.78,-3392.95,0.17,4.32,23.14
Residential,-0.67,-1.14,-1.53,-20.31,0.58,-11.04,-232742.6,-3336.88,-3510.76,-0.05,10.89,9.18
Residential,0.66,-2.29,4.26,-10.46,1.32,-11.04,-241048.28,-2754.83,-2911.52,-0.12,7.96,12.57
Residential,-1.21,-4.03,2.58,-24.08,-0.34,-11.04,-365294.27,-3550.48,-5328.81,0.16,17.21,5.81
Residential,-0.65,0.71,-5.38,5.98,-1.99,-1.04,475025.75,2032.36,24.72,-0.09,25.0,2.83
Residential,-0.41,2.35,-14.04,-4.87,1.45,-11.04,298965.05,2163.14,5852.19,-0.04,7.64,13.09
Residential,-0.13,-1.42,-9.9,-10.0,-2.65,-11.04,-187657.77,1625.57,-1536.05,-0.07,18.05,5.54
Residential,-0.8,0.85,5.28,33.93,-0.85,-1.04,-22526.38,-2136.27,-2805.58,-0.01,21.83,4.58
Residential,0.61,4.66,0.88,-0.82,-0.47,-1.04,316796.94,1090.15,5514.85,-0.18,10.44,9.58
Residential,1.01,-1.29,8.19,21.47,-0.08,8.96,-160581.36,1170.1,-3855.11,0.18,24.57,4.07
Residential,0.8,2.18,10.68,-9.94,-1.2,-11.04,31633.56,2420.78,3849.48,0.02,9.11,10.98
Residential,0.63,3.47,14.19,-11.17,1.72,8.96,306970.72,2326.56,8461.14,0.14,6.1,16.4
Residential,-0.82,-0.8,-13.53,-8.39,0.84,8.96,-4472.63,-1926.65,-2116.43,-0.14,14.35,6.97
Residential,-1.09,4.22,-0.69,-1.83,1.65,8.96,409543.08,-2154.63,78.2,0.05,15.75,6.35
Residential,-0.33,-4.57,8.5,-7.6,2.14,-1.04,-412326.28,-3679.77,-5127.99,0.1,5.73,17.45
Residential,0.51,4.28,7.78,25.84,-2.36,-1.04,413561.66,-168.9,2950.27,-0.02,21.6,4.63
Residential,-0.06,1.39,6.61,-7.76,-1.39,-1.04,96281.58,4789.66,4483.3,0.07,10.42,9.6
Residential,0.3,4.32,-3.95,26.42,-2.65,-11.04,60210.81,5013.61,2610.8,0.18,16.89,5.92
Residential,0.91,4.49,4.8,-0.43,1.05,-1.04,307307.8,570.91,4344.34,0.09,9.18,10.89
Residential,-0.89,2.02,-11.4,-21.06,-0.11,8.96,143531.08,3734.52,812.35,-0.14,14.14,7.07
Residential,1.06,-2.9,-3.54,-33.42,1.33,8.96,-326269.8,-844.59,-1694.78,-0.13,3.81,26.24
Residential,0.9,-2.76,-4.6,16.99,2.66,8.96,-297168.72,2346.35,-1845.75,0.14,4.37,22.88
Residential,0.13,4.74,-4.61,34.51,0.77,8.96,419476.46,2127.12,604.95,-0.12,17.83,5.61
Residential,1.11,0.27,19.0,29.94,0.46,-1.04,-196151.75,3147.23,-1001.74,-0.04,7.96,12.56
Residential,0.94,1.0,12.97,0.94,2.15,8.96,194130.83,694.09,510.19,-0.03,10.96,9.12
Residential,-0.6,-0.81,6.47,5.79,-1.56,-1.04,101234.67,-4152.86,-1859.31,-0.09,22.73,4.4
Residential,0.76,3.43,16.0,-9.99,0.33,-1.04,88767.29,-290.73,-524.54,0.07,13.77,7.26
Residential,-0.68,-2.5,-1.39,-3.35,0.87,8.96,-196761.18,-3691.8,-4870.34,-0.05,22.99,4.35
Residential,0.22,0.93,-3.13,8.88,-1.19,8.96,125955.33,-3836.78,-1119.45,0.06,19.16,5.22
Residential,0.17,-3.42,-9.44,15.0,1.49,-1.04,-380278.24,2097.34,-4827.3,-0.07,11.67,8.57
Residential,-0.52,1.06,-11.85,35.27,2.47,8.96,-115968.44,-2151.75,2005.75,0.05,4.39,22.77
Residential,-0.32,-1.85,-5.3,-33.95,-2.5,-1.04,-51832.77,2028.73,-3098.02,0.09,25.0,2.03
Residential,0.96,3.77,0.39,-8.57,-0.91,-1.04,633201.65,4232.65,14851.92,0.11,8.74,11.44
Residential,1.15,3.63,16.05,-5.76,-0.2,8.96,307230.34,-981.87,12141.73,0.14,6.09,16.43
Residential,0.67,4.37,-6.93,25.71,0.07,-1.04,229793.88,-2424.4,5956.88,0.1,7.89,12.68
Residential,-0.62,4.2,6.35,21.41,1.43,8.96,595650.53,1631.37,6996.96,0.04,9.62,10.4
Residential,-0.16,0.24,-5.66,32.81,1.25,8.96,-87543.08,705.68,-2117.12,-0.17,12.06,8.29
Residential,1.08,-1.12,2.38,-8.39,-2.28,-1.04,-194876.97,-140.9,-674.81,-0.0,11.61,8.61
Residential,-1.19,-2.07,-19.25,-26.57,-0.69,-1.04,-360207.93,-1229.59,-5127.6,0.16,22.27,4.49
Residential,-0.31,-2.96,-0.96,-12.71,1.91,8.96,-236898.84,-2493.46,-3472.11,0.2,9.12,10.96
Residential,-1.25,-3.76,1.87,-32.26,0.24,-11.04,-369207.16,-1524.35,-5193.85,0.05,17.51,5.71
Residential,0.71,-1.62,16.5,-16.58,-0.53,-1.04,-137644.76,-3388.44,-1809.85,0.17,11.16,8.96
Residential,-0.96,0.27,2.02,20.16,0.14,-1.04,-74454.09,55.2,-3915.17,0.12,25.0,3.51
Residential,0.79,-4.88,4.06,10.33,0.72,-1.04,-396015.4,-2621.3,-5163.61,0.04,9.24,10.82
Residential,0.38,-0.95,0.69,18.38,0.03,-1.04,-11496.54,-1.72,-3350.48,0.05,25.0,3.87
Residential,-1.24,2.66,-13.48,13.57,0.26,-1.04,312025.18,-609.97,-2135.43,0.12,25.0,3.61
Residential,-0.57,-1.12,3.47,23.1,-1.06,-11.04,-175779.15,-1988.03,-884.82,-0.1,9.31,10.74
Residential,0.46,0.27,6.09,2.84,1.67,-1.04,-31138.69,3143.37,-1075.43,-0.02,10.83,9.23
Residential,1.12,2.49,3.23,-23.69,2.57,8.96,-6343.31,-165.4,1244.27,-0.06,6.46,15.49
Residential,0.61,-4.13,-0.38,15.25,0.22,-11.04,-326092.88,-3694.21,-4100.08,0.04,8.64,11.58
Residential,-0.74,-0.4,-6.58,-10.6,-0.72,8.96,-143417.67,986.88,-4442.95,-0.18,25.0,2.17
Residential,0.57,2.21,-7.9,3.0,2.39,-1.04,242952.5,3132.69,3587.44,0.07,7.96,12.57
Residential,-1.09,0.27,-8.13,1.63,0.11,8.96,-132390.12,2081.17,-985.82,0.18,10.07,9.93
Residential,-0.71,2.32,-5.01,-7.43,-2.18,-1.04,-195262.31,1472.2,-1192.01,-0.13,13.74,7.28
Residential,-0.54,-2.64,-4.73,11.12,1.51,8.96,-299740.64,1162.14,-3727.81,0.07,9.28,10.78
Residential,0.12,-1.29,-5.79,32.7,1.85,-1.04,-196011.59,972.22,-3373.67,-0.09,12.06,8.29
Residential,-0.31,-4.55,4.97,-30.13,1.28,-1.04,-379238.75,-2245.0,-4858.57,-0.08,7.9,12.66
Residential,-0.55,5.0,8.91,18.06,0.06,-1.04,487743.35,1253.89,3362.34,-0.19,14.56,6.87
Residential,-0.47,2.18,-5.41,23.35,-1.11,8.96,-74627.11,2161.79,2984.04,-0.11,7.75,12.9
Residential,0.53,-3.23,12.23,6.4,1.28,-1.04,-250853.72,-2391.8,-1461.1,0.13,5.37,18.62
Residential,1.05,-3.93,1.47,28.74,-1.91,-1.04,-356466.17,-1930.16,-1763.54,0.09,5.12,19.52
Residential,0.15,4.08,-5.71,29.61,-1.51,-1.04,-83391.33,2436.21,522.19,0.15,11.86,8.43
Residential,0.04,3.37,4.89,-0.68,-1.16,-1.04,471471.71,-1557.93,3316.99,-0.13,16.78,5.96
Residential,0.86,2.67,14.8,33.42,0.87,-11.04,580663.06,2.59,8919.05,-0.2,8.72,11.47
Residential,-0.6,4.52,-3.34,-11.26,-1.73,-1.04,263367.29,-414.93,9072.92,-0.01,9.03,11.08
Residential,-0.03,-2.81,-2.69,23.04,-0.56,8.96,-89246.77,-640.53,-1846.91,0.1,14.33,6.98
Residential,-0.47,3.68,-9.45,17.41,-0.34,-11.04,-40768.96,-108.43,-426.94,0.07,11.6,8.62
Residential,-0.87,-2.31,5.7,23.03,-2.17,8.96,-187021.85,201.62,-1106.23,-0.12,12.99,7.7
Residential,1.13,-0.87,2.42,25.96,-1.01,-11.04,113114.19,-3696.67,1008.76,-0.01,12.85,7.78
Residential,-0.8,-0.33,5.68,25.28,-1.54,8.96,-3915.71,-1529.82,-2770.71,0.01,25.0,3.73
Residential,-1.07,1.33,-16.6,-32.45,-1.21,8.96,-28913.58,-4166.35,2033.52,-0.15,8.72,11.47
Residential,0.66,-3.84,13.58,-9.41,-0.5,-11.04,-301819.99,2740.7,-3154.3,-0.01,11.44,8.74
Residential,-0.56,2.76,-10.32,-13.56,-0.56,-11.04,106929.88,-127.87,-555.38,-0.15,16.64,6.01
Residential,0.26,4.12,13.94,25.86,-0.32,-11.04,651737.41,5434.8,8255.23,0.19,12.22,8.18
Residential,0.73,0.04,15.71,-21.94,-0.59,8.96,285069.09,468.28,2351.32,-0.05,14.16,7.06
Residential,0.64,-3.62,2.22,7.29,0.92,8.96,-319765.4,-1913.4,-2895.22,-0.08,5.63,17.77
Residential,-0.51,-4.59,-12.24,-6.38,-0.69,-1.04,-382927.92,298.9,-4765.77,-0.09,14.93,6.7
Residential,-0.91,-0.14,-11.55,-0.78,0.89,8.96,33657.88,-1646.42,-2433.98,0.12,16.92,5.91
Residential,-0.32,-1.31,-4.84,26.6,-2.01,-1.04,-245689.34,1185.07,-2860.24,-0.02,18.05,5.54
Residential,-0.28,1.9,7.99,28.97,-1.3,8.96,325516.0,3304.97,1982.47,0.04,19.01,5.26
Residential,-0.79,-0.1,-8.96,-0.42,-0.93,-1.04,37257.28,2259.1,986.68,0.2,12.72,7.86
Residential,-1.13,1.1,-5.7,32.36,2.42,-1.04,127750.92,2154.11,-1223.21,0.16,13.53,7.39
Residential,0.05,1.57,-8.68,22.49,-1.95,8.96,79233.0,1875.16,3765.88,-0.05,11.63,8.6
Residential,0.04,4.43,-2.29,28.1,2.48,-1.04,217869.72,3793.79,-1212.67,0.14,16.03,6.24
Residential,0.79,-0.41,-5.1,-0.56,-1.36,-1.04,-82472.21,-2503.91,-325.4,0.02,11.52,8.68
Residential,-1.15,1.4,-14.34,-28.66,1.08,8.96,104759.22,-2263.11,-841.03,0.08,12.9,7.75
Residential,-0.68,1.62,-11.56,8.84,-2.6,8.96,227496.13,70.61,2570.79,-0.1,19.05,5.25
Residential,0.16,-1.86,4.43,6.58,0.02,-11.04,-129913.19,-3739.92,-2009.74,0.09,10.85,9.22
Residential,-0.29,2.38,-5.83,-5.38,2.24,-11.04,171653.33,4184.18,-780.9,0.16,14.14,7.07
Residential,-0.0,3.17,10.69,13.42,0.18,-11.04,319115.6,1723.11,1440.6,-0.04,15.11,6.62
Residential,-0.09,-4.53,-6.95,-4.23,0.99,-1.04,-389462.79,-4220.76,-4292.92,0.13,4.51,22.16
Residential,-0.26,-4.93,-1.75,20.72,1.61,-1.04,-423212.97,1956.84,-5369.79,-0.1,20.33,4.92
Residential,0.07,-1.19,-0.82,-4.96,1.96,-11.04,53821.98,2063.37,1132.72,-0.15,8.23,12.15
Residential,-0.96,-4.64,-1.91,-3.31,-2.71,8.96,-426453.89,2274.84,-5487.33,-0.17,25.0,0.0
Residential,1.14,-4.88,10.74,11.09,0.27,-1.04,-408842.68,-1869.95,-4508.06,-0.15,5.89,16.98
Residential,-0.28,0.73,-8.56,14.44,1.88,-11.04,1727.62,-2868.88,3493.13,0.02,5.26,19.01
Residential,1.12,-4.22,0.56,-11.31,0.2,8.96,-397829.89,-3889.06,-3588.84,-0.19,3.42,29.24
Residential,-0.8,0.33,2.75,-18.87,-2.6,-11.04,13793.96,-1742.73,-2480.05,0.19,25.0,3.06
Residential,-0.27,1.96,-6.04,24.81,2.01,8.96,216469.51,-2737.78,2339.03,-0.18,8.58,11.65
Residential,-0.49,-1.85,5.97,18.3,-0.32,-1.04,-257429.09,-3356.47,-2626.9,-0.17,8.45,11.84
Residential,-0.75,-4.06,-6.32,29.72,1.25,-1.04,-398670.86,-312.87,-5274.48,-0.09,13.04,7.67
Residential,0.32,4.32,2.09,-6.31,-1.1,-11.04,127521.79,-2709.98,14660.35,0.04,4.66,21.44
Residential,-0.47,3.78,7.59,-13.89,-0.59,-1.04,567525.97,-1805.28,3072.48,0.01,17.18,5.82
Residential,1.14,2.23,1.54,21.87,-1.07,8.96,-87687.93,2161.49,4731.25,0.03,6.13,16.3
Residential,1.09,-2.32,9.12,18.65,0.02,8.96,-100368.45,320.75,-1313.11,-0.01,11.43,8.75
Residential,-1.08,0.49,-7.91,-31.28,1.29,-1.04,-95447.01,2835.42,-3766.05,-0.06,24.1,4.15
Residential,0.58,3.07,12.21,-17.04,-2.09,-1.04,200942.44,927.65,7873.62,-0.09,9.87,10.13
Residential,-0.31,-0.14,-5.66,7.99,0.88,-1.04,6651.41,-4452.96,-3470.22,-0.01,19.8,5.05
Residential,1.07,4.45,-1.5,0.03,2.25,-1.04,264646.81,1226.47,4954.33,-0.08,7.12,14.04
Residential,1.03,0.75,14.49,30.47,-0.79,-11.04,121735.78,1256.03,5245.63,-0.08,8.5,11.76
Residential,0.09,-4.23,7.27,-29.78,0.33,8.96,-344592.8,-2939.89,-5078.74,0.1,14.51,6.89
Residential,-0.04,2.49,-3.13,28.88,1.17,-11.04,-33521.25,-1587.08,-403.03,-0.18,9.07,11.03
Residential,-1.19,-2.08,-13.55,-29.73,-0.09,-1.04,-298100.34,-2273.42,-4892.48,-0.08,20.0,5.0
Residential,-1.18,2.86,-10.08,2.55,0.84,8.96,177106.34,-3033.86,2022.26,-0.05,9.63,10.38
Residential,0.54,-2.49,-3.4,-0.53,-0.37,-1.04,-219315.24,2363.82,-696.06,0.18,7.69,13.0
Residential,-0.5,2.67,-7.68,21.1,-0.46,-1.04,206338.93,-596.71,-1113.85,-0.1,21.19,4.72
Residential,-0.36,-4.76,-8.76,-34.48,2.52,-11.04,-405458.34,-4658.05,-5356.41,-0.2,7.68,13.02
Residential,0.63,4.17,9.52,10.15,-2.06,8.96,545974.17,860.59,5322.75,-0.02,18.45,5.42
Residential,0.25,2.07,-2.31,-10.7,-1.96,8.96,227395.38,-1700.06,-206.59,0.1,23.64,4.23
Residential,-0.64,-4.16,5.98,4.73,2.5,8.96,-372467.92,-1537.9,-4476.47,0.01,5.79,17.26
Residential,1.13,-4.59,9.82,-7.21,1.71,-11.04,-345663.39,-1952.98,-3863.19,0.07,5.92,16.9
Residential,-0.51,2.27,-12.06,27.8,-0.64,8.96,-28814.62,-632.13,1231.29,0.07,9.45,10.58
Residential,0.42,0.99,9.68,15.91,1.35,-1.04,146562.8,-1470.92,536.39,-0.16,10.78,9.28
Residential,0.18,-0.82,11.9,-6.0,-2.55,-11.04,23993.09,-705.32,-2195.26,0.08,25.0,3.1
Residential,0.96,-0.72,-5.22,31.82,1.48,-1.04,48413.39,143.97,-89.52,-0.0,10.15,9.85
Residential,0.42,4.32,-5.88,14.17,-2.75,-11.04,708374.01,2780.02,11808.08,0.07,15.87,6.3
Residential,0.46,-1.71,11.4,-6.39,-1.63,8.96,-165384.16,-2934.02,-1917.15,-0.07,13.04,7.67
Residential,-0.82,4.58,-1.72,-3.26,2.12,-1.04,708867.03,-1574.92,6803.18,-0.05,9.69,10.32
Residential,0.43,1.78,1.67,-20.28,2.22,-1.04,76442.67,793.74,5718.65,-0.16,4.94,20.24
Residential,0.84,0.09,9.8,-18.3,-0.68,-11.04,142905.94,2321.55,4370.79,0.14,9.57,10.45
Residential,0.77,0.88,5.69,-12.84,1.26,-11.04,105168.73,-17.97,2531.96,-0.03,7.97,12.55
Residential,-0.07,-1.67,5.96,-32.33,2.46,-11.04,-148698.74,1840.71,-23.95,-0.15,5.67,17.63
Residential,0.44,-1.63,-2.55,17.31,-2.09,-1.04,-99885.73,3926.42,-1962.54,0.17,25.0,3.77
Residential,0.89,-3.62,7.7,-20.99,0.78,-11.04,-246813.75,-1502.8,-2929.32,-0.13,8.82,11.34
Residential,0.03,-0.83,2.45,15.31,-1.34,8.96,-272947.58,-2996.92,-1940.44,-0.13,7.95,12.58
Residential,-0.14,4.48,-1.78,2.74,1.96,-1.04,153615.26,-209.58,4270.83,-0.13,6.57,15.22
Residential,1.12,-2.64,17.03,31.78,2.25,-1.04,-230310.74,-4018.81,-1459.73,0.2,5.04,19.83
Residential,0.63,3.85,15.61,-27.44,2.64,-11.04,718841.55,3864.25,11065.33,0.08,7.18,13.92
Residential,-1.23,4.39,-19.08,25.14,-2.38,8.96,240788.13,-2360.02,-1228.39,0.07,25.0,3.16
Residential,0.58,4.84,15.0,14.78,-1.28,-1.04,555748.61,-4589.46,4398.26,0.2,15.92,6.28
Residential,1.23,1.03,13.05,-18.05,0.3,-1.04,-85176.21,-4113.51,35.84,0.01,7.92,12.63
Residential,0.49,-2.5,12.26,-30.04,-0.88,-11.04,-187101.72,-1509.53,688.31,-0.13,6.69,14.95
Residential,0.99,4.96,17.69,-7.63,-0.96,8.96,735839.65,4232.14,15280.33,-0.05,9.43,10.6
Residential,-0.61,2.31,-10.87,35.26,-2.43,-1.04,-36223.06,1946.73,1858.35,0.02,13.18,7.59
Residential,0.19,1.12,-7.23,-4.15,-0.92,8.96,247600.28,606.44,2030.54,-0.05,14.9,6.71
Residential,0.1,3.35,7.21,12.37,2.63,8.96,79101.15,2417.19,7300.85,0.12,4.23,23.64
Residential,-0.62,1.28,7.17,-22.92,1.38,-11.04,-112239.6,158.02,-1215.88,-0.1,8.79,11.38
Residential,-1.02,2.45,-15.38,18.02,-2.2,-1.04,257372.33,-1654.96,2101.83,0.09,18.35,5.45
Residential,-0.41,-1.32,8.95,9.22,0.81,8.96,-57980.38,-2824.09,-1351.18,0.01,10.45,9.57
Residential,-0.37,-2.2,-9.42,29.06,-1.87,-1.04,-163568.12,-4206.66,-2735.55,0.19,16.1,6.21
Residential,-0.28,-3.62,-5.51,5.01,0.84,-1.04,-334284.03,-3741.77,-5301.92,-0.03,16.1,6.21
Residential,0.64,-2.72,15.98,-15.4,1.74,-1.04,-183183.74,995.56,-744.13,-0.09,6.21,16.11
Residential,-0.35,-1.13,-5.58,4.38,-0.46,-1.04,47290.93,873.33,1022.83,0.08,11.47,8.72
Residential,-0.5,-1.97,-7.34,5.96,2.66,-1.04,-245313.38,-1873.04,-4821.45,-0.01,16.29,6.14
Residential,0.49,4.45,-8.74,16.86,0.95,-1.04,575340.75,-210.98,2503.9,0.18,15.13,6.61
Residential,-0.19,0.8,9.24,32.3,0.24,8.96,-139642.15,2647.77,-2400.78,-0.03,14.37,6.96
Residential,-0.45,-3.04,-9.45,14.87,1.26,8.96,-379371.51,-3264.59,-5000.24,-0.07,8.05,12.42
Residential,0.2,-1.57,10.08,33.16,0.44,8.96,-290567.47,-2918.69,-3056.19,-0.05,7.31,13.68
Residential,0.28,-3.71,-5.08,-8.49,0.15,-1.04,-378913.65,-1997.94,-3947.33,0.13,5.66,17.66
Residential,0.6,-4.54,-0.89,11.88,1.02,-1.04,-419903.84,1866.37,-5214.16,-0.08,17.3,5.78
Residential,-0.83,-1.55,-17.52,9.47,0.8,-11.04,-121881.32,-1438.22,-3744.14,-0.18,18.73,5.34
Residential,0.07,-2.08,-10.41,-25.45,1.84,8.96,-201421.96,-3858.66,-2387.58,-0.15,7.33,13.64
Residential,0.51,4.61,1.65,17.97,1.32,8.96,291441.92,3003.77,7214.85,-0.15,6.93,14.44
Residential,-0.12,1.0,-5.64,6.2,-0.62,8.96,253659.97,-1175.14,3518.65,-0.05,11.57,8.64
Residential,-0.13,-2.94,-1.34,-14.25,1.23,-1.04,-328246.54,368.21,-4528.45,0.17,12.36,8.09
Residential,0.54,3.02,-5.35,-14.53,-2.26,-1.04,384724.97,2072.97,4842.78,0.12,17.42,5.74
Residential,0.06,-0.74,-5.06,-9.42,-2.29,8.96,-210231.18,1662.38,-2757.62,0.09,22.88,4.37
Residential,-0.7,-1.85,5.1,-1.72,0.71,-1.04,4392.14,831.31,-1257.93,-0.07,13.19,7.58
Residential,-0.84,2.45,-4.77,-30.42,-0.84,-1.04,346877.2,-1521.25,3882.07,-0.14,12.99,7.7
Residential,0.02,1.6,4.6,-32.12,-1.21,-1.04,120985.12,-1264.63,908.41,0.16,14.49,6.9
Residential,-1.14,4.73,-7.87,-22.34,2.57,-1.04,395502.0,3558.84,7136.41,0.08,6.87,14.55
Residential,-0.44,-4.68,-13.16,33.98,1.01,8.96,-405967.15,-395.17,-5811.3,-0.06,25.0,1.52
Residential,-0.17,-3.3,7.26,-24.76,0.88,-11.04,-312594.86,-3544.7,-4868.47,-0.15,13.28,7.53
Residential,0.29,0.91,8.33,6.8,2.48,-1.04,-95670.33,78.91,1188.89,-0.1,5.32,18.81
Residential,-0.2,0.71,9.8,30.11,0.43,-1.04,298837.5,1282.42,2428.75,-0.1,12.33,8.11
Residential,-0.45,2.52,-12.46,5.7,0.23,8.96,-27151.66,-1734.25,-1594.0,-0.17,13.26,7.54
Residential,0.57,-3.61,1.86,11.8,2.73,8.96,-356000.15,-507.5,-2435.45,-0.06,3.07,32.55
Residential,0.66,3.17,0.06,-21.35,-2.05,8.96,152424.24,-2453.61,4324.04,-0.01,11.66,8.58
Residential,-0.8,2.41,3.71,7.53,0.41,8.96,360384.01,-4246.4,2234.04,-0.1,12.55,7.97
Residential,-0.28,-3.78,-4.29,-8.79,-2.08,-1.04,-360923.15,-1730.53,-2829.54,0.16,7.06,14.17
Residential,-0.03,-3.01,-1.27,20.16,-1.27,-11.04,-330665.23,2076.01,-4335.85,-0.18,25.0,3.92
Residential,-0.48,-0.42,4.64,24.17,-0.32,-1.04,-160194.29,2948.36,-2327.07,-0.08,14.88,6.72
Residential,-1.24,0.1,-10.57,-25.33,-1.61,8.96,25676.13,3401.83,1433.12,0.04,13.76,7.27
Residential,-1.23,0.26,0.56,15.2,1.38,-1.04,-125536.55,788.36,-3158.96,-0.16,14.88,6.72
Residential,0.7,-1.11,4.89,27.95,-1.85,8.96,-71797.86,552.48,-375.07,0.14,14.66,6.82
Residential,-1.04,4.44,-4.31,9.69,2.35,-11.04,969814.32,661.94,5418.59,0.05,13.19,7.58
Residential,0.79,3.17,7.27,10.24,0.93,-1.04,364316.04,2004.03,1452.54,-0.14,14.35,6.97
Residential,-0.99,-3.02,0.28,-18.9,-0.59,-1.04,-169098.94,418.1,-2638.73,-0.1,14.97,6.68
Residential,0.62,-4.63,15.34,-17.27,0.21,8.96,-381755.1,-2999.6,-5711.25,-0.13,23.75,4.21
Residential,0.02,-2.12,-9.89,-16.08,2.23,-1.04,-296657.43,-967.69,-3227.65,-0.15,6.31,15.86
Residential,-0.93,-1.79,-7.13,-26.48,2.33,8.96,-55927.97,-500.74,-1733.02,-0.04,9.97,10.03
Residential,-0.1,-4.97,-10.78,-17.93,0.77,-1.04,-418883.26,-1057.77,-5233.87,0.16,10.49,9.53
Residential,-1.08,4.52,-6.23,-28.96,-2.07,-11.04,58608.38,-2425.83,-557.47,0.11,19.05,5.25
Residential,1.15,4.5,-5.34,-20.87,0.13,-1.04,337915.83,959.87,7559.14,-0.12,8.25,12.12
Residential,0.59,3.29,4.17,-10.57,1.71,-1.04,66020.34,1941.53,6818.23,0.02,4.74,21.09
Residential,-0.91,0.54,-12.77,-3.21,1.1,-1.04,-200847.77,-736.69,-2678.72,-0.0,9.68,10.33
Residential,-1.1,4.16,-17.72,28.61,2.08,-1.04,389421.54,-1636.69,2802.05,-0.19,10.26,9.75
Residential,1.15,4.48,10.34,29.05,-1.05,8.96,618107.56,-2562.64,5352.73,-0.03,15.36,6.51
Residential,-0.33,1.74,1.78,-21.63,-0.52,-11.04,159646.81,3065.74,746.7,0.2,15.53,6.44
